"sep=,"
Nazwa,ID,Cena,IloϾ,Bricklink,Img,Typ,Kolor
Torso Shirt with Dark Bluish Gray Neck and Wrinkles Pattern / Medium Tan Arms / Medium Tan Hands,973pb4832c01,8.91,1,"https://www.bricklink.com/v2/catalog/catalogitem.page?P=973pb4832c01&idColor=11#T=S&C=11&O={""color"":11,""rpp"":""500"",""iconly"":0}",https://img.bricklink.com/ItemImage/PN/11/973pb4832c01.png,Torso,Black
Hips and Legs Plain,970c00,0.05,1,"https://www.bricklink.com/v2/catalog/catalogitem.page?P=970c00&idColor=85#T=S&C=85&O={""color"":85,""rpp"":""500"",""iconly"":0}",https://img.bricklink.com/ItemImage/PN/85/970c00.png,Legs,Dark Bluish Gray
"Minifigure, Head Black Eyebrows, Dark Orange Eye Shadow and Chin Dimple, Nougat Cheek Lines, Neutral Pattern - Hollow Stud",3626cpb3066,5.53,1,"https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb3066&idColor=241#T=S&C=241&O={""color"":241,""rpp"":""500"",""iconly"":0}",https://img.bricklink.com/ItemImage/PN/241/3626cpb3066.png,Head,Medium Tan
